1, 282
2, 110
3, 109
4, 130
5, 137
6, 157
7, 204
8, 123
9, 121
10, 180
11, 171
12, 130
13, 100
14, 144
15, 132
16, 147
17, 127
18, 105
19, 132
20, 131
21, 136
22, 151
23, 103
24, 142
25, 110
26, 104
27, 128
28, 133
29, 140
30, 137
31, 130
32, 120
33, 1334
34, 1202
35, 1237
36, 1282
37, 1390
38, 1420
39, 1371
40, 1194
41, 1189
42, 1199
43, 1240
44, 1169
45, 1216
46, 1181
47, 1236
48, 1337
49, 1484
50, 1211
51, 1174
52, 1214
53, 1140
54, 1047
55, 1069
56, 1049
57, 1046
58, 1047
59, 1083
60, 1307
61, 1081
62, 1129
63, 1087
64, 1089
65, 1125
66, 1174
67, 1366
68, 1130
69, 708
70, 701
71, 704
72, 703
73, 704
74, 702
75, 720
76, 530
77, 529
78, 529
79, 531
80, 531
81, 531
82, 564
83, 591
84, 533
85, 517
86, 424
87, 426
88, 425
89, 425
90, 435
91, 427
92, 430
93, 427
94, 427
95, 427
96, 355
97, 354
98, 355
99, 359
100, 355
