1, 27
2, 28
3, 27
4, 30
5, 30
6, 36
7, 37
8, 27
9, 28
10, 28
11, 28
12, 29
13, 28
14, 28
15, 28
16, 29
17, 28
18, 28
19, 29
20, 28
21, 28
22, 28
23, 28
24, 27
25, 25
26, 24
27, 25
28, 23
29, 23
30, 21
31, 21
32, 22
33, 24
34, 28
35, 24
36, 23
37, 22
38, 21
39, 21
40, 23
41, 23
42, 23
43, 22
44, 23
45, 23
46, 22
47, 24
48, 25
49, 25
50, 24
51, 24
52, 22
53, 25
54, 25
55, 26
56, 26
57, 24
58, 24
59, 26
60, 29
61, 30
62, 24
63, 25
64, 24
65, 27
66, 28
67, 25
68, 26
69, 26
70, 34
71, 35
72, 26
73, 25
74, 26
75, 41
76, 33
77, 31
78, 29
79, 37
80, 36
81, 36
82, 31
83, 30
84, 34
85, 30
86, 31
87, 36
88, 29
89, 29
90, 33
91, 33
92, 29
93, 29
94, 32
95, 31
96, 28
97, 30
98, 33
99, 31
100, 28
