Zeit;Kanal A
(ms);(V)

-25.04999936;1.37721500
-25.02499936;1.35839100
-24.99999936;1.35839100
-24.97499936;1.35839100
-24.94999936;1.35839100
-24.92499936;1.35839100
-24.89999936;1.35839100
-24.87499936;1.35839100
-24.84999936;1.32062000
-24.82499936;1.35839100
-24.79999936;1.35839100
-24.77499936;1.32062000
-24.74999936;1.35839100
-24.72499936;1.35839100
-24.69999937;1.32062000
-24.67499937;1.35839100
-24.64999937;1.32062000
-24.62499937;1.33950500
-24.59999937;1.37721500
-24.57499937;1.35839100
-24.54999937;1.35839100
-24.52499937;1.35839100
-24.49999937;1.33950500
-24.47499937;1.33950500
-24.44999937;1.35839100
-24.42499937;1.35839100
-24.39999937;1.33950500
-24.37499937;1.35839100
-24.34999937;1.33950500
-24.32499937;1.33950500
-24.29999938;1.35839100
-24.27499938;1.35839100
-24.24999938;1.33950500
-24.22499938;1.33950500
-24.19999938;1.35839100
-24.17499938;1.33950500
-24.14999938;1.37721500
-24.12499938;1.33950500
-24.09999938;1.35839100
-24.07499938;1.35839100
-24.04999938;1.35839100
-24.02499938;1.35839100
-23.99999938;1.35839100
-23.97499938;1.35839100
-23.94999938;1.33950500
-23.92499938;1.35839100
-23.89999939;1.33950500
-23.87499939;1.33950500
-23.84999939;1.32062000
-23.82499939;1.35839100
-23.79999939;1.35839100
-23.77499939;1.35839100
-23.74999939;1.35839100
-23.72499939;1.35839100
-23.69999939;1.35839100
-23.67499939;1.35839100
-23.64999939;1.35839100
-23.62499939;1.37721500
-23.59999939;1.37721500
-23.57499939;1.35839100
-23.54999939;1.35839100
-23.52499939;1.35839100
-23.49999940;1.35839100
-23.47499940;1.35839100
-23.44999940;1.33950500
-23.42499940;1.35839100
-23.39999940;1.33950500
-23.37499940;1.35839100
-23.34999940;1.33950500
-23.32499940;1.33950500
-23.29999940;1.35839100
-23.27499940;1.33950500
-23.24999940;1.35839100
-23.22499940;1.33950500
-23.19999940;1.35839100
-23.17499940;1.32062000
-23.14999940;1.35839100
-23.12499940;1.30173500
-23.09999941;1.33950500
-23.07499941;1.37721500
-23.04999941;1.33950500
-23.02499941;1.35839100
-22.99999941;1.41498500
-22.97499941;1.35839100
-22.94999941;1.52817400
-22.92499941;1.35839100
-22.89999941;1.32062000
-22.87499941;1.33950500
-22.84999941;1.35839100
-22.82499941;1.35839100
-22.79999941;1.35839100
-22.77499941;1.41498500
-22.74999941;1.35839100
-22.72499942;1.35839100
-22.69999942;1.33950500
-22.67499942;1.33950500
-22.64999942;1.35839100
-22.62499942;1.37721500
-22.59999942;1.37721500
-22.57499942;1.37721500
-22.54999942;1.35839100
-22.52499942;1.35839100
-22.49999942;1.35839100
-22.47499942;1.35839100
-22.44999942;1.35839100
-22.42499942;1.35839100
-22.39999942;1.35839100
-22.37499942;1.35839100
-22.34999942;1.33950500
-22.32499943;1.35839100
-22.29999943;1.35839100
-22.27499943;1.33950500
-22.24999943;1.30173500
-22.22499943;1.33950500
-22.19999943;1.35839100
-22.17499943;1.33950500
-22.14999943;1.35839100
-22.12499943;1.35839100
