Zeit;Kanal A
(ms);(V)

-25.03529347;1.11312700
-25.01029347;1.15083700
-24.98529348;1.13195100
-24.96029348;1.15083700
-24.93529348;1.13195100
-24.91029348;1.13195100
-24.88529348;1.15083700
-24.86029348;1.13195100
-24.83529348;1.15083700
-24.81029348;1.18854600
-24.78529348;1.16972200
-24.76029348;1.15083700
-24.73529348;1.39610000
-24.71029348;1.11312700
-24.68529348;1.13195100
-24.66029348;1.13195100
-24.63529348;1.15083700
-24.61029348;1.16972200
-24.58529349;1.11312700
-24.56029349;1.15083700
-24.53529349;1.16972200
-24.51029349;1.15083700
-24.48529349;1.15083700
-24.46029349;1.15083700
-24.43529349;1.15083700
-24.41029349;1.15083700
-24.38529349;1.15083700
-24.36029349;1.15083700
-24.33529349;1.15083700
-24.31029349;1.13195100
-24.28529349;1.13195100
-24.26029349;1.13195100
-24.23529349;1.15083700
-24.21029349;1.15083700
-24.18529350;1.15083700
-24.16029350;1.15083700
-24.13529350;1.15083700
-24.11029350;1.15083700
-24.08529350;1.15083700
-24.06029350;1.15083700
-24.03529350;1.15083700
-24.01029350;1.15083700
-23.98529350;1.15083700
-23.96029350;1.15083700
-23.93529350;1.13195100
-23.91029350;1.13195100
-23.88529350;1.15083700
-23.86029350;1.15083700
-23.83529350;1.18854600
-23.81029350;1.15083700
-23.78529351;1.13195100
-23.76029351;1.15083700
-23.73529351;1.13195100
-23.71029351;1.13195100
-23.68529351;1.13195100
-23.66029351;1.15083700
-23.63529351;1.13195100
-23.61029351;1.13195100
-23.58529351;1.15083700
-23.56029351;1.13195100
-23.53529351;1.13195100
-23.51029351;1.13195100
-23.48529351;1.15083700
-23.46029351;1.15083700
-23.43529351;1.13195100
-23.41029351;1.15083700
-23.38529352;1.13195100
-23.36029352;1.13195100
-23.33529352;1.15083700
-23.31029352;1.13195100
-23.28529352;1.15083700
-23.26029352;1.13195100
-23.23529352;1.15083700
-23.21029352;1.15083700
-23.18529352;1.15083700
-23.16029352;1.13195100
-23.13529352;1.13195100
-23.11029352;1.13195100
-23.08529352;1.13195100
-23.06029352;1.13195100
-23.03529352;1.15083700
-23.01029353;1.15083700
-22.98529353;1.15083700
-22.96029353;1.15083700
-22.93529353;1.13195100
-22.91029353;1.13195100
-22.88529353;1.15083700
-22.86029353;1.13195100
-22.83529353;1.15083700
-22.81029353;1.13195100
-22.78529353;1.16972200
-22.76029353;1.16972200
-22.73529353;1.13195100
-22.71029353;1.15083700
-22.68529353;1.15083700
-22.66029353;1.15083700
-22.63529353;1.15083700
-22.61029354;1.13195100
-22.58529354;1.15083700
-22.56029354;1.13195100
-22.53529354;1.16972200
-22.51029354;1.15083700
-22.48529354;1.15083700
-22.46029354;1.15083700
-22.43529354;1.13195100
-22.41029354;1.15083700
-22.38529354;1.15083700
-22.36029354;1.15083700
-22.33529354;1.15083700
-22.31029354;1.13195100
-22.28529354;1.13195100
-22.26029354;1.15083700
-22.23529354;1.13195100
-22.21029355;1.13195100
-22.18529355;1.16972200
-22.16029355;1.37721500
-22.13529355;1.20743100
-22.11029355;1.16972200
