Zeit;Kanal A
(ms);(V)

-25.03463791;0.96216780
-25.00963791;0.92445870
-24.98463791;0.98105320
-24.95963791;0.96216780
-24.93463791;0.98105320
-24.90963791;0.98105320
-24.88463791;0.96216780
-24.85963791;0.98105320
-24.83463792;0.98105320
-24.80963792;0.96216780
-24.78463792;0.98105320
-24.75963792;0.96216780
-24.73463792;0.98105320
-24.70963792;0.96216780
-24.68463792;0.96216780
-24.65963792;0.96216780
-24.63463792;0.96216780
-24.60963792;0.96216780
-24.58463792;0.96216780
-24.55963792;0.96216780
-24.53463792;0.98105320
-24.50963792;0.98105320
-24.48463792;0.96216780
-24.45963793;0.96216780
-24.43463793;0.94328250
-24.40963793;0.96216780
-24.38463793;0.96216780
-24.35963793;0.92445870
-24.33463793;0.96216780
-24.30963793;0.96216780
-24.28463793;0.98105320
-24.25963793;0.96216780
-24.23463793;0.98105320
-24.20963793;0.96216780
-24.18463793;0.96216780
-24.15963793;0.98105320
-24.13463793;0.96216780
-24.10963793;0.96216780
-24.08463793;0.99987700
-24.05963794;0.96216780
-24.03463794;0.98105320
-24.00963794;0.96216780
-23.98463794;0.98105320
-23.95963794;0.96216780
-23.93463794;0.98105320
-23.90963794;0.96216780
-23.88463794;0.96216780
-23.85963794;0.96216780
-23.83463794;0.98105320
-23.80963794;0.98105320
-23.78463794;0.96216780
-23.75963794;0.98105320
-23.73463794;0.96216780
-23.70963794;0.96216780
-23.68463794;0.98105320
-23.65963795;0.96216780
-23.63463795;0.98105320
-23.60963795;0.96216780
-23.58463795;0.96216780
-23.55963795;0.98105320
-23.53463795;0.98105320
-23.50963795;0.90557330
-23.48463795;0.96216780
-23.45963795;0.96216780
-23.43463795;0.96216780
-23.40963795;0.98105320
-23.38463795;0.96216780
-23.35963795;0.96216780
-23.33463795;0.96216780
-23.30963795;0.96216780
-23.28463795;0.94328250
-23.25963796;0.96216780
-23.23463796;0.96216780
-23.20963796;0.98105320
-23.18463796;0.96216780
-23.15963796;0.96216780
-23.13463796;0.98105320
-23.10963796;0.98105320
-23.08463796;0.96216780
-23.05963796;0.96216780
-23.03463796;0.96216780
-23.00963796;0.96216780
-22.98463796;0.96216780
-22.95963796;0.96216780
-22.93463796;0.96216780
-22.90963796;0.96216780
-22.88463796;0.96216780
-22.85963797;0.96216780
-22.83463797;0.96216780
-22.80963797;0.96216780
-22.78463797;0.96216780
-22.75963797;0.96216780
-22.73463797;0.96216780
-22.70963797;0.96216780
-22.68463797;0.98105320
-22.65963797;1.01876200
-22.63463797;0.98105320
-22.60963797;0.96216780
-22.58463797;0.98105320
-22.55963797;0.96216780
-22.53463797;0.96216780
-22.50963797;0.98105320
-22.48463797;0.96216780
-22.45963798;0.96216780
-22.43463798;1.03764800
-22.40963798;0.96216780
-22.38463798;0.96216780
-22.35963798;0.98105320
-22.33463798;0.96216780
-22.30963798;0.98105320
-22.28463798;0.96216780
-22.25963798;0.96216780
-22.23463798;0.98105320
-22.20963798;0.96216780
-22.18463798;0.96216780
-22.15963798;0.96216780
-22.13463798;0.96216780
-22.10963798;0.96216780
