Zeit;Kanal A
(ms);(V)

-18,94999951;0,69801920
-18,92499951;0,69801920
-18,89999951;0,67919530
-18,87499951;0,62253930
-18,84999951;0,67919530
-18,82499951;0,67919530
-18,79999951;0,69801920
-18,77499951;0,69801920
-18,74999952;0,69801920
-18,72499952;0,69801920
-18,69999952;0,73578980
-18,67499952;0,67919530
-18,64999952;0,69801920
-18,62499952;0,67919530
-18,59999952;0,69801920
-18,57499952;0,67919530
-18,54999952;0,69801920
-18,52499952;0,69801920
-18,49999952;0,67919530
-18,47499952;0,69801920
-18,44999952;0,69801920
-18,42499952;0,69801920
-18,39999952;0,67919530
-18,37499952;0,69801920
-18,34999953;0,69801920
-18,32499953;0,69801920
-18,29999953;0,69801920
-18,27499953;0,69801920
-18,24999953;0,67919530
-18,22499953;0,69801920
-18,19999953;0,67919530
-18,17499953;0,69801920
-18,14999953;0,69801920
-18,12499953;0,67919530
-18,09999953;0,67919530
-18,07499953;0,69801920
-18,04999953;0,71690450
-18,02499953;0,67919530
-17,99999953;0,69801920
-17,97499953;0,69801920
-17,94999954;0,69801920
-17,92499954;0,69801920
-17,89999954;0,67919530
-17,87499954;0,69801920
-17,84999954;0,69801920
-17,82499954;0,67919530
-17,79999954;0,69801920
-17,77499954;0,69801920
-17,74999954;0,69801920
-17,72499954;0,67919530
-17,69999954;0,67919530
-17,67499954;0,67919530
-17,64999954;0,71690450
-17,62499954;0,69801920
-17,59999954;0,69801920
-17,57499955;0,69801920
-17,54999955;0,66031000
-17,52499955;0,67919530
-17,49999955;0,69801920
-17,47499955;0,69801920
-17,44999955;0,67919530
-17,42499955;0,69801920
-17,39999955;0,69801920
-17,37499955;0,69801920
-17,34999955;0,69801920
-17,32499955;0,69801920
-17,29999955;0,69801920
-17,27499955;0,69801920
-17,24999955;0,69801920
-17,22499955;0,67919530
-17,19999955;0,67919530
-17,17499956;0,69801920
-17,14999956;0,69801920
-17,12499956;0,69801920
-17,09999956;0,67919530
-17,07499956;0,69801920
-17,04999956;0,67919530
-17,02499956;0,69801920
-16,99999956;0,69801920
-16,97499956;0,71690450
-16,94999956;0,69801920
-16,92499956;0,67919530
-16,89999956;0,67919530
-16,87499956;0,69801920
-16,84999956;0,69801920
-16,82499956;0,67919530
-16,79999956;0,67919530
-16,77499957;0,69801920
-16,74999957;0,69801920
-16,72499957;0,69801920
-16,69999957;0,67919530
